"","region","stream_name_pse","sppSum"
"Central Coast-WASHWASH RIVER",Central Coast,WASHWASH RIVER,35033.3881318681
"Central Coast-WATHL CREEK",Central Coast,WATHL CREEK,1189.31878306878
"Central Coast-WATHLSTO CREEK",Central Coast,WATHLSTO CREEK,500
"Central Coast-WATSON BAY CREEK",Central Coast,WATSON BAY CREEK,1704.23452380952
"Central Coast-WATT CREEK",Central Coast,WATT CREEK,268.103448275862
"Central Coast-WEBSTER LAKE CREEK",Central Coast,WEBSTER LAKE CREEK,3156.81750162655
"Central Coast-WEDEENE RIVER",Central Coast,WEDEENE RIVER,10496.1286626528
"Central Coast-WEEWANIE CREEK",Central Coast,WEEWANIE CREEK,5080.7619236884
"Central Coast-WEST ARM CREEK",Central Coast,WEST ARM CREEK,2264.55476025757
"Central Coast-WEST CREEK",Central Coast,WEST CREEK,2637.01964157706
