"region","species_name","species_pooled","cuid","cu_name_pse","psf_status"
"Fraser","Steelhead","Steelhead",785,"Boundary Bay Winter","data-deficient"
"Fraser","Steelhead","Steelhead",783,"Fraser Canyon Summer","data-deficient"
"Fraser","Steelhead","Steelhead",784,"Lower Fraser Summer","data-deficient"
"Fraser","Steelhead","Steelhead",782,"Lower Fraser Winter","data-deficient"
"Fraser","Steelhead","Steelhead",780,"Mid Fraser Summer","poor"
"Fraser","Steelhead","Steelhead",781,"Thompson Summer","poor"
"Vancouver Island & Mainland Inlets","Chinook","Chinook",322,"East Vancouver Island-Cowichan and Koksilah (Fall x-1)","data-deficient"
"Vancouver Island & Mainland Inlets","Chinook","Chinook",334,"East Vancouver Island-Georgia Strait (Summer 4-1)","data-deficient"
"Vancouver Island & Mainland Inlets","Chinook","Chinook",321,"East Vancouver Island-Goldstream (Fall x-1)","data-deficient"
"Vancouver Island & Mainland Inlets","Chinook","Chinook",323,"East Vancouver Island-Nanaimo (Spring x-2)","data-deficient"
"Vancouver Island & Mainland Inlets","Chinook","Chinook",324,"East Vancouver Island-Nanaimo and Chemainus (Fall x-1)","data-deficient"
"Vancouver Island & Mainland Inlets","Chinook","Chinook",327,"East Vancouver Island-North (Fall x-1)","data-deficient"
"Vancouver Island & Mainland Inlets","Chinook","Chinook",325,"East Vancouver Island-Qualicum and Puntledge (Fall x-1)","data-deficient"
"Vancouver Island & Mainland Inlets","Chinook","Chinook",331,"Homathko (Summer x-x)","data-deficient"
"Vancouver Island & Mainland Inlets","Chinook","Chinook",332,"Klinaklini (Summer 5-2)","data-deficient"
"Vancouver Island & Mainland Inlets","Chinook","Chinook",320,"Southern Mainland-Georgia Strait (Fall x-1)","data-deficient"
"Vancouver Island & Mainland Inlets","Chinook","Chinook",326,"Southern Mainland-Southern Fjords (Fall x-1)","data-deficient"
"Vancouver Island & Mainland Inlets","Chinook","Chinook",329,"West Vancouver Island-Nootka and Kyuquot (Fall x-1)","data-deficient"
"Vancouver Island & Mainland Inlets","Chinook","Chinook",330,"West Vancouver Island-North (Fall x-1)","data-deficient"
"Vancouver Island & Mainland Inlets","Chinook","Chinook",328,"West Vancouver Island-South (Fall x-1)","data-deficient"
"Vancouver Island & Mainland Inlets","Chum","Chum",901,"Bute Inlet","data-deficient"
"Vancouver Island & Mainland Inlets","Chum","Chum",904,"Georgia Strait","good"
"Vancouver Island & Mainland Inlets","Chum","Chum",905,"Howe Sound-Burrard Inlet","fair"
"Vancouver Island & Mainland Inlets","Chum","Chum",902,"Loughborough","poor"
"Vancouver Island & Mainland Inlets","Chum","Chum",903,"Northeast Vancouver Island","poor"
"Vancouver Island & Mainland Inlets","Chum","Chum",977,"Northwest Vancouver Island","data-deficient"
"Vancouver Island & Mainland Inlets","Chum","Chum",900,"Southern Coastal Streams","poor"
"Vancouver Island & Mainland Inlets","Chum","Chum",978,"Southwest & West Vancouver Island","data-deficient"
"Vancouver Island & Mainland Inlets","Chum","Chum",979,"Upper Knight","data-deficient"
"Vancouver Island & Mainland Inlets","Coho","Coho",915,"Clayoquot","data-deficient"
"Vancouver Island & Mainland Inlets","Coho","Coho",910,"East Vancouver Island-Georgia Strait","data-deficient"
"Vancouver Island & Mainland Inlets","Coho","Coho",911,"East Vancouver Island-Johnstone Strait-Southern Fjords","data-deficient"
"Vancouver Island & Mainland Inlets","Coho","Coho",908,"Georgia Strait Mainland","data-deficient"
"Vancouver Island & Mainland Inlets","Coho","Coho",916,"Homathko-Klinaklini Rivers","data-deficient"
"Vancouver Island & Mainland Inlets","Coho","Coho",907,"Howe Sound-Burrard Inlet","data-deficient"
"Vancouver Island & Mainland Inlets","Coho","Coho",913,"Juan de Fuca-Pachena","data-deficient"
"Vancouver Island & Mainland Inlets","Coho","Coho",912,"Nahwitti Lowland","data-deficient"
"Vancouver Island & Mainland Inlets","Coho","Coho",909,"Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords","data-deficient"
"Vancouver Island & Mainland Inlets","Coho","Coho",914,"West Vancouver Island","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",945,"Alice","data-deficient"
"Vancouver Island & Mainland Inlets","Lake sockeye","Sockeye",946,"Canoe Creek","data-deficient"
