"region","species","year","spawners","smoothedSpawners","expansion_factor1","expansion_factor2"
"Skeena","Chum",1999,3670.86888044394,11454.4008170779,1.12312883435583,1.23337011517888
"Skeena","Chum",2000,6170.56577830566,10448.6241316153,1.0713088300739,1.23337011517888
"Skeena","Chum",2001,11591.0927835366,10676.7745363068,1.09277942595704,1.23337011517888
"Skeena","Chum",2002,4199.37341382341,7285.02967995659,1.11050092006913,1.23337011517888
"Skeena","Chum",2003,188331.124685589,11573.5066899406,85.6881919336304,1.23337011517888
"Skeena","Chum",2004,158080.869499649,24563.3194182335,63.3250274446447,1.23337011517888
"Skeena","Chum",2005,81624.2178701976,41170.4738095836,28.439976185825,1.23337011517888
"Skeena","Chum",2006,120504.206776314,65759.9433354721,129.408211640212,1.23337011517888
"Skeena","Chum",2007,25444.27019213,94284.9838826307,43.5229411346003,1.23337011517888
"Skeena","Chum",2008,11272.7779332222,53686.4023085743,43.5229411346003,1.23337011517888
"Skeena","Chum",2009,20760.7074058002,35771.4766189378,12.4685214866292,1.23337011517888
"Skeena","Chum",2010,19770.4392755181,26938.6808479268,22.608755777408,1.23337011517888
"Skeena","Chum",2011,4658.93370887862,14055.0757184881,1.07771787849615,1.23337011517888
"Skeena","Chum",2012,2682.51770570457,8962.387336143,1.0973509042388,1.23337011517888
"Skeena","Chum",2013,1278.35505853848,5798.9293522834,1.07184404411107,1.23337011517888
"Skeena","Chum",2014,1300.9971830295,3332.38107598944,1.11977826165784,1.23337011517888
"Skeena","Chum",2015,1189.12799850148,1899.31551858924,1.11977826165784,1.23337011517888
"Skeena","Chum",2016,37041.3296394193,2875.26000986289,28.439976185825,1.23337011517888
"Skeena","Chum",2017,976.077173610101,2348.90491119076,1.11463425749541,1.23337011517888
"Skeena","Chum",2018,568.923885070755,1997.77222340533,1.14460516094009,1.23337011517888
"Skeena","Chum",2019,1915.91273338787,2158.56854427419,1.06836068065745,1.23337011517888
"Skeena","Chum",2020,89.8841598610409,1287.82471569666,1.12118269415896,1.23337011517888
"Skeena","Chum",2021,464.557174322217,536.447562716743,1.07616213171882,1.23337011517888
"Skeena","Coho",1950,61430.0695515609,61430.0695515609,1.66555272869599,1.50296221475491
"Skeena","Coho",1951,93312.9614378372,75711.4371227258,1.54251013292347,1.50296221475491
"Skeena","Coho",1952,101988.08527407,83616.2730111337,1.69032382873434,1.50296221475491
"Skeena","Coho",1953,92559.0308498696,85767.5104651421,1.64181293206058,1.50296221475491
"Skeena","Coho",1954,114705.233073326,100258.998103616,1.6990079920603,1.50296221475491
"Skeena","Coho",1955,106891.867129504,103722.752455793,1.75131235429761,1.50296221475491
"Skeena","Coho",1956,192145.623412951,121519.030942431,1.5886252062759,1.50296221475491
